car_dealership,price,city,brand,model,release_date,type_of_ban,color,distance,gearbox,gear,is_new,views,owners,market,seats,Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası,engine_power,horsepower,fuel,condition_1,condition_2,day,month,year
0,45560.0,Bakı,Toyota,Highlander,2014,Offroader / SUV,Qara,280000,Avtomat,Tam,0,5866,1,Avropa,7,1,1,1,0,1,1,1,1,1,0,1,1,0,3,249,Benzin,0,0,24,5,2023
1,69360.0,Bakı,Toyota,Land Cruiser,2013,Offroader / SUV,Qara,221000,Avtomat,Tam,0,660,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,282,Benzin,0,0,28,5,2023
1,17800.0,Sumqayıt,Chevrolet,Captiva,2008,Offroader / SUV,Ağ,85000,Avtomat,Ön,0,7870,3,Rəsmi diler,5,1,1,1,1,1,1,1,0,0,0,1,1,0,2,140,Benzin,0,0,28,5,2023
0,12500.0,Bakı,BMW,325,1997,Kupe,Tünd qırmızı,290000,Mexaniki,Arxa,0,28704,5,Yaponiya,4,1,1,1,1,1,0,1,0,1,1,0,0,0,2,192,Benzin,0,0,27,5,2023
0,23000.0,Bakı,Hyundai,HD-45,2009,Yük maşını,Ağ,250000,Mexaniki,Arxa,0,101,2,Rusiya,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,120,Dizel,0,0,26,5,2023
1,38250.0,Bakı,Mercedes,E 350,2009,Sedan,Qara,249000,Avtomat,Arxa,0,17462,0,Avropa,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,272,Benzin,0,0,26,5,2023
0,3300.0,Quba,LADA (VAZ),2106,1984,Sedan,Ağ,250000,Mexaniki,Arxa,0,317,3,Rusiya,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65,Benzin,0,1,28,5,2023
0,9500.0,Bakı,BMW,745,2001,Sedan,Göy,358000,Avtomat,Arxa,0,6613,0,Avropa,5,1,1,1,1,1,1,1,1,1,1,0,1,1,4,333,Benzin,0,0,28,5,2023
1,38930.0,Bakı,Land Rover,RR Sport,2010,Offroader / SUV,Göy,264000,Avtomat,Tam,0,17823,1,Amerika,5,1,1,0,1,1,1,1,1,1,1,1,1,1,3,245,Dizel,0,0,26,5,2023
0,3400.0,Şirvan,LADA (VAZ),21013,1984,Sedan,Gümüşü,65322,Mexaniki,Arxa,0,368,1,Digər,5,1,0,0,1,1,1,0,0,0,0,0,1,0,1,75,Benzin,0,0,28,5,2023
0,102000.0,Bakı,Land Rover,Range Rover,2013,Offroader / SUV,Qara,218000,Avtomat,Tam,0,934,2,Avropa,5,1,1,1,1,1,1,1,1,1,1,1,0,1,3,248,Dizel,0,0,22,5,2023
0,18800.0,Bakı,Kia,Cerato,2010,Sedan,Yaş Asfalt,233500,Avtomat,Ön,0,1781,1,Koreya,5,1,1,0,1,1,1,1,1,0,1,0,1,0,1,126,Dizel,0,0,27,5,2023
0,40120.0,Bakı,Audi,A6,2015,Sedan,Ağ,88700,Avtomat,Ön,0,8253,0,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,1,1,0,2,220,Benzin,0,0,20,5,2023
0,44500.0,Bakı,Toyota,Prado,2013,Offroader / SUV,Ağ,178000,Avtomat,Tam,0,3492,2,Dubay,7,1,1,1,1,1,1,1,1,1,1,1,1,0,2,163,Benzin,0,0,27,5,2023
1,11900.0,Xırdalan,Nissan,X-Trail,2003,Offroader / SUV,Qızılı,256000,Avtomat,Tam,0,1923,1,Avropa,7,0,1,1,0,1,0,0,0,1,0,1,0,0,2,150,Benzin,0,0,28,5,2023
1,59900.0,Bakı,Bestune,T99,2022,Offroader / SUV,Göy,0,Avtomat,Ön,0,87025,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,0,1,2,225,Benzin,0,0,19,5,2023
0,3000.0,Sabirabad,LADA (VAZ),2107,1992,Sedan,Ağ,208518,Mexaniki,Arxa,0,597,1,Rusiya,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65,Benzin,0,0,26,5,2023
0,21800.0,Bakı,Land Rover,Range Rover,2005,Offroader / SUV,Yaşıl,195900,Avtomat,Tam,0,17274,1,Avropa,5,1,1,1,1,1,1,1,1,1,1,1,0,0,4,286,Benzin,0,0,28,5,2023
